Names,Email,Phones
"Совершенство, фотостудия",,"+7‒924‒171‒34‒39, +7‒914‒301‒12‒03"
"Сейчас вылетит птичка!, фотостудия",,+7‒924‒660‒71‒99
"Zima Decor, студия декора и фотозоны",,"+7‒914‒2‒717‒043, +7‒914‒2‒734‒031"
"Фотостудия Алексея Павлова",,+7‒914‒2‒70‒55‒51
"DresscodeStudio, служба проката вечерних платьев",,+7‒984‒103‒03‒08
"Lamour, агентство праздничного оформления",,+7‒999‒244‒67‒74
"URAN AdLab, лаборатория рекламы",,"+7‒914‒2‒708‒009, +7‒965‒676‒04‒66"
"Kerely & Sibekki, фотостудия",,"+7‒962‒737‒37‒20, +7‒964‒422‒10‒22"
"Horizon, фотостудия",,"+7‒924‒177‒73‒51, +7‒914‒114‒61‒40"
"ArtPhoto, фотоцентр",,+7‒914‒2‒732‒001
"Вебинком, ООО, компания",,"+7 (4112) 716‒596, +7‒924‒663‒84‒70"
"Волшебная фотостудия",,+7‒914‒2‒722‒000
"Blick, фотостудия",,"+7‒914‒2‒71‒35‒35, +7‒924‒871‒23‒77"
"Свет, фото-видеостудия",,+7‒914‒824‒83‒51
"Wave for soul, фотостудия",,+7‒914‒292‒66‒49
"Фабрика Дизайна, рекламное агентство",,+7‒9‒142‒722‒333
"Мила, фотостудия",,+7‒996‒915‒61‒32
"Виктория, эстрадная школа-студия",,+7‒914‒298‒37‒34
"Студия 1ТОМ, компания по изготовлению пригласительных, книг и проведению фотосессий",,"+7‒914‒261‒32‒43, +7‒914‒299‒23‒44"
"Центр фотоуслуг и оперативной полиграфии",,+7‒924‒468‒33‒30
Koral_photo_studio,,+7‒924‒878‒78‒87
"Кids Photo Ykt, фотостудия",,+7‒964‒422‒91‒97
"Fantasy, интерьерная фотостудия",,"+7‒924‒464‒62‒82, +7‒914‒268‒88‒99"
"AiViRi, фотостудия",,+7‒964‒418‒91‒56
Копицентр,,
"Универс, полиграфическая компания",,"+7 (4112) 356‒000, +7‒962‒737‒71‒77"
"ФОРМАТ, салон оперативной полиграфии",,"+7 (4112) 256‒226"
Фотоцентр,,
"Домус, студия дизайна и полиграфии",,"+7‒914‒266‒00‒51, +7 (4112) 26‒06‒63"
"Байарр, компания полиграфических услуг",,+7‒914‒109‒15‒11
"A-print, студия оперативной полиграфии",,+7‒914‒2‒777‒555
"Loft, студия",,"+7 (4112) 26‒35‒15, +7‒924‒766‒35‒15"
"San_Print_YKT, полиграфическая студия",,+7‒914‒2‒739‒789
"Центр оперативной полиграфии",,"+7‒914‒2‒710‒993, +7‒924‒661‒38‒08"
"М-Фото, фотосалон",,"+7 (4112) 34‒11‒65"
"Paparazzi, фотосалон",,"+7‒924‒872‒61‒27, +7‒914‒303‒11‒78"
"Dайыы art studio, полиграфическая фирма",,+7‒914‒2‒701‒725
"Colorit-Print, полиграфическая компания",,"+7‒962‒735‒45‒23, +7‒964‒415‒21‒34"
"Print&Go, фотоцентр",,+7‒924‒165‒40‒75
"Позитив, полиграфическая компания",,+7‒914‒285‒75‒40
"Yakutsk service, центр ремонта сотовых телефонов и цифровой техники",,+7‒914‒2‒742‒717
"Центр фотоуслуг и оперативной полиграфии, ИП Пономаренко В.Г.",,"+7‒924‒760‒08‒55, +7‒924‒660‒17‒80"
"Konica, фотолаборатория",,"+7 (4112) 42‒23‒38"
"Photo life, фотоцентр",,+7‒914‒102‒48‒08
Копицентр,,
"СахаКоллаж, центр печати портретов по фото и картин на холсте",,+7‒968‒150‒29‒09
ProФото,,"+7‒964‒421‒66‒66, +7‒964‒420‒07‒10, +7‒965‒996‒11‒11, +7‒914‒289‒56‒70"
"Салон срочного фото и полиграфических услуг",,"+7‒914‒267‒76‒64, +7‒914‒109‒71‒15"
Фотостудия,,+7‒924‒767‒18‒79
"МиксАрт, ООО, рекламно-производственная компания",,"+7‒964‒423‒21‒45, +7‒914‒2‒701‒807"
"Фото-принт, салон полиграфических услуг",,+7‒914‒273‒38‒55
"Пункт цифровой фотопечати",,+7‒924‒468‒78‒92
"Совершенство, фотостудия",,"+7‒924‒171‒34‒39, +7‒914‒301‒12‒03"
"Konica, фотоцентр",,+7‒914‒223‒49‒05
"Салон срочного фото",,+7‒914‒2‒703‒271
"КОПИмон, фотоцентр",,+7‒914‒266‒30‒00
"Пара кадров, фотостудия",,"+7 (4112) 25‒36‒25"
Фотоцентр,,"+7 (4112) 25‒15‒06, +7‒924‒765‒15‒06"
"Пункт экспресс-фото и цифровой фотопечати",,+7‒924‒871‒55‒11
"Фотомиг, салон фото на документы",,+7‒914‒262‒24‒93
PHOTOmix,,+7‒914‒2‒755‒996
"ArtPhoto, фотоцентр",,+7‒914‒2‒732‒001
Фотоцентр,,+7‒924‒596‒80‒48
"GeneR, рекламно-полиграфическое агентство",,"+7‒914‒235‒75‒77, +7‒914‒106‒60‒10"
"Парус, рекламное агентство",,+7‒914‒2‒724‒770
"FLASH, фотосалон",,"+7‒924‒760‒87‒81, +7‒914‒277‒88‒59, +7‒999‒244‒69‒78"
"Фокус, фотоцентр",,+7‒914‒2‒70‒50‒52
"Центр фотоуслуг и оперативной полиграфии",,+7‒924‒468‒33‒30
Копицентр,,
Копицентр,,
"PartyShop, компания",ever_ane4ka1009@mail.ru,+7‒984‒112‒96‒91
"Книжный маркет",,+7‒914‒2‒741‒423
Копицентр,,
"Универс, полиграфическая компания",,"+7 (4112) 356‒000, +7‒962‒737‒71‒77"
"Азбука, сеть канцелярских магазинов",,"+7‒914‒2‒708‒437, +7‒914‒2‒714‒817"
"ОДАРИЧ, магазин подарочных сертификатов и подарков",,+7‒914‒2‒747‒787
"РИМ, рекламно-производственная компания",,"+7‒914‒2‒74‒94‒94, +7 (4112) 263‒222"
"Акварель, ООО, сеть канцелярских магазинов",,
"Икки, рекламно-полиграфическая группа",,"+7‒924‒765‒28‒02, +7 (4112) 255‒202, +7 (4112) 252‒802"
"МНЕБУКЕТ.РФ, салон цветов и подарков",,"8‒800‒234‒19‒91, +7‒914‒2‒72‒60‒72"
"Creative Shop, магазин креативных вещей",,+7‒914‒2‒73‒43‒53
"INVITE, компания по изготовлению свадебных наборов, фотокниг и пригласительных",,+7‒914‒2‒707‒104
"СМИК, типография",,"+7‒914‒2‒70‒17‒10, +7 (4112) 34‒32‒44, +7 (4112) 40‒23‒98"
"Фото-принт, салон полиграфических услуг",,+7‒914‒273‒38‒55
"Клевер, студия дизайна",,"+7‒914‒2‒726‒052, +7‒914‒823‒74‒00"
"Горпечать, сеть пунктов продажи печатной продукции и канцелярских товаров",,"+7 (4112) 210‒114"
"ТиМи, агентство праздничного оформления шарами",,+7‒924‒166‒63‒06
PHOTOmix,,+7‒914‒2‒755‒996
"AЛАhА ДЬИЭ, компания по продаже якутских национальных открыток, талисманов и оберегов",,"+7‒914‒2‒733‒263, +7 (4112) 73‒32‒63"
"Sharikoff, студия организации праздников",,"+7 (4112) 26‒05‒15, +7‒924‒766‒05‒15"
"Студия 1ТОМ, компания по изготовлению пригласительных, книг и проведению фотосессий",,"+7‒914‒261‒32‒43, +7‒914‒299‒23‒44"
"Книжный маркет",,+7‒914‒2‒741‒423
Копицентр,,
"Азбука, сеть канцелярских магазинов",,"+7‒914‒2‒708‒437, +7‒914‒2‒714‒817"
"ОДАРИЧ, магазин подарочных сертификатов и подарков",,+7‒914‒2‒747‒787
"Акварель, ООО, сеть канцелярских магазинов",,
"Книжный маркет",,+7‒914‒2‒741‒423
Копицентр,,
"Азбука, сеть канцелярских магазинов",,"+7‒914‒2‒708‒437, +7‒914‒2‒714‒817"
"ОДАРИЧ, магазин подарочных сертификатов и подарков",,+7‒914‒2‒747‒787
"Книжный маркет",,+7‒914‒2‒741‒423
Копицентр,,
"Азбука, сеть канцелярских магазинов",,"+7‒914‒2‒708‒437, +7‒914‒2‒714‒817"
"ОДАРИЧ, магазин подарочных сертификатов и подарков",,+7‒914‒2‒747‒787
"Книжный маркет",,+7‒914‒2‒741‒423
"Азбука, сеть канцелярских магазинов",,"+7‒914‒2‒708‒437, +7‒914‒2‒714‒817"
"ОДАРИЧ, магазин подарочных сертификатов и подарков",,+7‒914‒2‒747‒787
"Книжный маркет",,+7‒914‒2‒741‒423
"Азбука, сеть канцелярских магазинов",,"+7‒914‒2‒708‒437, +7‒914‒2‒714‒817"
"Книжный маркет",,+7‒914‒2‒741‒423
"Азбука, сеть канцелярских магазинов",,"+7‒914‒2‒708‒437, +7‒914‒2‒714‒817"
"Книжный маркет",,+7‒914‒2‒741‒423
"Книжный маркет",,+7‒914‒2‒741‒423
"Книжный маркет",,+7‒914‒2‒741‒423
"Книжный маркет",,+7‒914‒2‒741‒423
"Книжный маркет",,+7‒914‒2‒741‒423
"Книжный маркет",,+7‒914‒2‒741‒423
"Книжный маркет",,+7‒914‒2‒741‒423
"Книжный маркет",,+7‒914‒2‒741‒423
"Книжный маркет",,+7‒914‒2‒741‒423
"Книжный маркет",,+7‒914‒2‒741‒423
"Книжный маркет",,+7‒914‒2‒741‒423
"Книжный маркет",,+7‒914‒2‒741‒423
"Книжный маркет",,+7‒914‒2‒741‒423
"Якутск вечерний, газета",,"+7 (4112) 350‒222, +7 (4112) 321‒444, +7 (4112) 32‒11‒33"
"Кыым, газета",,"+7 (4112) 34‒05‒03, +7 (4112) 34‒47‒40, +7 (4112) 42‒21‒08"
"Все для Вас, газета",,
"Из рук в руки, газета",,"+7 (4112) 21‒94‒21, +7 (4112) 21‒93‒16, +7 (4112) 21‒94‒08"
"Она+, газета",,"+7 (4112) 36‒22‒12, +7 (4112) 35‒38‒70"
"Саха сирэ, республиканская газета",,"+7 (4112) 42‒06‒50, +7 (4112) 42‒09‒42, +7 (4112) 42‒06‒90"
"Эхо Столицы, газета",,"+7 (4112) 21‒83‒45, +7 (4112) 21‒83‒46"
"Якутия, газета",,"+7 (4112) 42‒06‒50, +7 (4112) 42‒07‒79, +7 (4112) 21‒94‒01"
"Забота Арчы, газета",,"+7 (4112) 42‒06‒60, +7 (4112) 42‒09‒50, +7 (4112) 42‒33‒08"
"Ил Тумэн, парламентская газета",,"+7 (4112) 40‒22‒08, +7 (4112) 40‒22‒10"
"Вторник, газета",,
"Кэскил, детская республиканская газета",,"+7 (4112) 34‒11‒12, +7 (4112) 42‒35‒56"
"Купи-продай, газета бесплатных объявлений",,"+7‒914‒270‒96‒49, +7‒914‒100‒33‒53, +7‒914‒220‒12‒72"
"Аар Тайга, газета",,"+7 (4112) 42‒31‒09"
"Юность Севера, детская республиканская газета",,"+7 (4112) 42‒09‒20, +7 (4112) 42‒07‒91, +7 (4112) 34‒48‒24, +7 (4112) 42‒35‒56"
"Работа. Учёба в Якутске, газета",,"+7‒914‒220‒12‒72, +7‒914‒100‒33‒53"
"Киин куорат, газета",,"+7 (4112) 21‒83‒47"
"Ваше право, газета",,
"Спорт Якутии, газета",,"+7 (4112) 42‒59‒47, +7 (4112) 34‒36‒13"
"Ленский водник, газета",,"+7 (4112) 408‒009"
"Бэлэм буол+, мультиязычная детская газета",,"+7 (4112) 42‒21‒08, +7 (4112) 34‒47‒40"
"Жатайский Вестник, газета",,"+7 (4112) 42‒64‒82"
"Все для Вас, газета",,
"Молодежь Якутии, газета",,"+7 (4112) 42‒59‒47, +7 (4112) 34‒36‒13"
"Товары и услуги Заречья, рекламно-информационная газета",,+7‒914‒266‒41‒01
"Иэлкэн, газета",,"+7 (4112) 34‒43‒64"
"Саха ыала, газета",,"+7 (4112) 42‒06‒90, +7 (4112) 21‒93‒43"
"Вторник, газета",,
"Вторник, газета",,
"2ГИС, городской информационный сервис",inf@yakutsk.2gis.ru,"+7 (4112) 40‒20‒22"
"Автоматизация бизнеса, торгово-сервисная компания",,"+7 (4112) 318‒300"
"Торгово-производственная компания, ИП Шилов М.Ф.",paeg1@yandex.ru,"+7‒914‒2‒716‒979, +7‒914‒2‒706‒573, +7‒914‒2‒733‒815, +7 (4112) 43‒27‒65"
"Фабрика мебели №1, производственная фирма",fm-1@bk.ru,"+7 (4112) 35‒52‒14, +7 (4112) 35‒12‒94, +7‒924‒766‒02‒16, +7 (4112) 260‒216, +7 (4112) 44‒61‒97"
"Жалюзи Room, торговая компания",jaluzi.room@mail.ru,
"Холод-Сервис, торговая компания",,"+7 (4112) 23‒24‒83"
"Торгтехсервис, ООО, центр автоматизации торговли",,
"КМ, производственно-торговая фирма",,
"Сино-Вент, ООО, торговая компания",,"+7‒924‒166‒38‒00, +7 (4112) 33‒21‒95, +7‒914‒2‒716‒346, +7 (4112) 33‒20‒84"
"Фурнитура, ООО",,"+7 (4112) 33‒20‒84, +7‒924‒462‒22‒94, +7 (4112) 33‒21‒95, +7‒964‒427‒73‒59"
"Якутторгтехника, торгово-сервисная фирма",,"+7 (4112) 35‒10‒66, +7 (4112) 35‒47‒26"
"МасАрт, ООО, строительно-производственная компания",,"+7 (4112) 21‒00‒08, +7‒914‒2‒746‒900, +7‒914‒2‒744‒417"
"Мастер Мебель, торгово-монтажная компания",antar_mebel@mail.ru,
"СкладТехника+, ООО, торговая компания",,"+7‒914‒2‒730‒209, +7 (4112) 25‒47‒30"
"Магазин торгового оборудования",,"+7 (4112) 44‒70‒32, +7‒914‒2‒745‒898"
"Ника, организация по изготовлению мебели на заказ",,"+7‒914‒2‒706‒516, +7‒924‒169‒99‒41, +7‒924‒765‒23‒91, +7‒914‒827‒79‒71, +7‒924‒765‒23‒93"
"ТРИВИДИ, ООО, проектно-производственная компания",,"+7 (4112) 20‒20‒04, +7‒914‒271‒86‒08, +7‒924‒662‒70‒08"
"Любомирмебель, производственная компания",,+7‒924‒765‒48‒58
"МАРКС, интернет-магазин офисной мебели",,"+7 (4112) 72‒33‒11"
"Архивный гриф, ООО, компания по оказанию архивных услуг, организации документооборота и уничтожению документов",,+7‒914‒102‒87‒30
"АлюКомп+, ООО, производственно-монтажная фирма",,+7‒914‒2‒722‒044
"На Колесах, магазин промышленных колес и роликов",,"+7 (4112) 25‒47‒20"
"Decor A.S., торгово-производственная компания",,"+7 (4112) 36‒64‒82, +7‒924‒866‒20‒22"
"dush_peregorodku_ykt, торгово-монтажная компания",,"+7‒964‒429‒61‒36, +7‒964‒427‒48‒08"
"Жалюзи Room, торговая компания",jaluzi.room@mail.ru,
"Норд Хаус",,+7‒914‒2‒720‒240
"Рольставни & Ворота города, торгово-монтажная компания",,+7‒924‒877‒14‒63
"Торгтехсервис, ООО, центр автоматизации торговли",,
"Аланта, торговая компания",,"+7 (4112) 71‒88‒97"
"КМ, производственно-торговая фирма",,
"Мебель от Захара",,+7‒914‒221‒34‒78
"Макаров М.С., ИП",,+7‒914‒279‒93‒22
"Мастер Мебель, торгово-монтажная компания",antar_mebel@mail.ru,
"Магазин торгового оборудования",,"+7 (4112) 44‒70‒07"
"Кассервис, ООО, центр технического обслуживания",kasservis18@bk.ru,"+7‒924‒271‒71‒54, +7‒914‒172‒55‒88, +7‒964‒422‒87‒15"
"Автоматизация бизнеса, торгово-сервисная компания",,"+7 (4112) 318‒300"
"Лось, ООО, сервисный центр",los@sakha.ru,"+7 (4112) 43‒76‒43, +7 (4112) 43‒71‒73, +7 (4112) 39‒03‒92"
"Техник, ООО, центр технического обслуживания контрольно-кассовых машин",kkm_technic@bk.ru,"+7 (4112) 35‒40‒11, +7 (4112) 32‒02‒73"
"Кассовый центр, ООО, компания по автоматизации торговли",,"+7 (4112) 45‒27‒28, +7 (4112) 45‒27‒48, +7 (4112) 45‒27‒15"
"ЯКУТПРОФТОРГ, ООО, компания по поставке профессионального кухонного оборудования",,"+7‒914‒2‒705‒122, +7 (4112) 44‒70‒16"
"Инко, ООО, торгово-ремонтная компания",,"+7‒914‒221‒82‒36, +7 (4112) 35‒75‒21"
"АСФ-Чита, ООО",,+7‒914‒2‒740‒402
"Неотек, ООО, авторизованный сервисный центр",,"+7‒914‒2‒718‒974, +7 (4112) 40‒59‒09"
"Торгтехсервис, ООО, центр автоматизации торговли",,
"Касса 1С: Франчайзи, центр технического обслуживания",,"+7 (4112) 31‒88‒75, +7 (4112) 45‒91‒22, +7‒924‒460‒68‒88"
"Охотник на Ярославского, магазин","brat1967@list.ru, hunter14ru@gmail.com","+7 (4112) 34‒05‒26, +7‒964‒423‒06‒22"
"Призма, ООО, магазин средств связи и навигационного оборудования","9575.ru@gmail.com, donate@opencart.com",+7‒914‒2‒700‒975
"ИТЦ, ООО, информационно-технический центр",itcapk@mail.ru,"+7‒914‒227‒65‒40, +7 (4112) 42‒31‒90"
"Телезавр, магазин телевизоров и спутникового ТВ",,"+7 (4112) 450‒451, +7‒924‒765‒11‒17"
"Мир антенн, сеть магазинов",,
"JET, торгово-выставочный центр",,"+7‒924‒765‒94‒21, +7 (4112) 25‒97‒28, +7 (4112) 45‒97‒28"
"Мир пультов, ремонтная мастерская",,"+7‒914‒2‒72‒22‒71, +7‒914‒2‒705‒875"
"Технический центр телерадиовещания Республики Саха (Якутия), ГУП",,"+7 (4112) 50‒00‒50, +7 (4112) 32‒20‒19"
"Телекарта, магазин",,"+7‒914‒272‒22‒71, +7 (4112) 70‒68‒85, +7 (4112) 70‒58‒75, +7‒914‒267‒68‒79, +7‒914‒270‒68‒85"
"ЯкСтар, IT-компания",,"+7 (4112) 24‒00‒42"
"Айти комплект Якутск, ООО",,"+7 (4112) 39‒80‒80"
"Телеконика, ООО, интернет-провайдер",,"+7 (4112) 35‒29‒20, +7‒924‒766‒11‒77"
"Satmarket, оптово-розничный магазин спутникового и цифрового оборудования",,"+7‒914‒2‒740‒224, +7‒914‒2‒701‒832"
"Вычислительный центр Якутавиа, ОАО, телекоммуникационная компания",,"+7 (4112) 42‒46‒56, +7 (4112) 34‒25‒54"
"М2М-Сахателематика, ООО",,"+7‒924‒569‒99‒14, +7‒924‒766‒36‒46, +7 (4112) 40‒40‒00, +7 (4112) 26‒36‒46"
"Магазин пультов для телевизора",,"+7‒924‒765‒05‒97, +7 (4112) 25‒05‒97"
"Интернет-магазин спутниковых антенн",,+7‒914‒2‒702‒851
"Торговая фирма, ИП Протопопов А.А.",,+7‒914‒274‒40‒99
"Мир антенн, сеть магазинов",,
"Мир антенн, сеть магазинов",,
"Мир антенн, сеть магазинов",,
"ПожарOFF, торгово-монтажная компания",oleg690@yandex.ru,"+7 (4112) 32‒42‒22, +7 (4112) 32‒42‒66"
"Инфотех-Сервис, ООО, торгово-монтажная компания",,
"Магазин 01, торгово-монтажная компания",01_magazin@mail.ru,"+7 (4112) 325‒666, +7‒965‒676‒85‒85"
"КОМПЬЮТЕРЫ И СЕТИ, системный интегратор",c-lan@c-lan.ru,"+7 (4112) 39‒11‒48"
"МГК, торгово-монтажная фирма",mgk2000@mail.ru,"+7 (4112) 21‒42‒47, +7 (4112) 47‒42‒83, +7‒924‒168‒30‒66"
"ТМК Периметр, ООО, торгово-монтажная компания",tmkperimetr@mail.ru,"+7 (4112) 25‒15‒35, +7‒914‒2‒735‒172"
"Спецавтоматика, ООО, торгово-монтажная компания","403839@mail.ru, juss12v@mail.ru, 89142210000@mail.ru","+7 (4112) 24‒01‒02"
"Всероссийское добровольное пожарное общество",,"+7 (4112) 43‒57‒34, +7 (4112) 43‒55‒73, +7 (4112) 43‒55‒78, +7 (4112) 43‒55‒92"
"Бридж телеком, ООО, интернет-провайдер",,"+7 (4112) 39‒00‒13, +7‒964‒421‒00‒88, +7‒924‒166‒89‒58, +7‒965‒996‒40‒13, +7‒914‒290‒39‒27"
"Системы Контроля Гелиос, ООО, центр продаж и обслуживания систем безопасности, 4G усилителей",,"+7‒964‒420‒85‒77, +7 (4112) 39‒10‒44"
"Галиаф, частное охранное предприятие",,"+7 (4112) 36‒23‒96"
"Наблюдатель-ДВ, специализированный магазин видеонаблюдения и систем безопасности",252030@bk.ru,"+7‒964‒418‒18‒38, +7 (4112) 25‒20‒30"
"Ратник, ООО, частное охранное предприятие",,"+7‒914‒227‒01‒44, +7 (4112) 21‒09‒70, +7 (4112) 21‒09‒69"
"Гром+, ООО, частное охранное предприятие",,"+7 (4112) 35‒00‒05, +7‒914‒2‒723‒215, +7‒914‒2‒702‒901, +7‒914‒2‒726‒124"
"Щит и Меч, группа охранных предприятий",,"+7 (4112) 33‒69‒68, +7 (4112) 33‒69‒67"
"Дом-Строй, монтажная компания",,"+7 (4112) 39‒02‒89, +7 (4112) 36‒85‒82, +7 (4112) 500‒789"
"НС-Безопасность, ООО, монтажно-сервисная компания",,"+7 (4112) 26‒02‒02, +7 (4112) 25‒56‒57, +7 (4112) 32‒04‒64"
"ШЕРИФ, ООО, региональное охранное агентство",,"+7 (4112) 21‒00‒80, +7‒924‒599‒53‒99, +7‒924‒870‒17‒51"
"Орёл, группа предприятий",,"+7 (4112) 262‒555, +7 (4112) 262‒055"
"Охрана-Сервис, частное охранное предприятие",,"+7 (4112) 44‒72‒69, +7 (4112) 44‒72‒87, +7‒9‒142‒722‒257"
"Нерюнгринская мониторинговая компания, ООО",,
"Инфотех-Сервис, ООО, торгово-монтажная компания",,
"Легенда, ООО",,"+7 (4112) 40‒20‒30"
"Охрана Росгвардии, ФГУП, филиал по Республике Саха (Якутия)",,"+7 (4112) 40‒24‒59, +7 (4112) 40‒24‒61"
"Новая строительная компания, ООО",,"+7 (4112) 34‒17‒17, +7‒914‒2‒710‒436, +7‒914‒2‒738‒307"
"Гарант, частная охранная организация",,"+7 (4112) 25‒23‒83, +7‒914‒2‒724‒804, +7‒914‒100‒70‒50, +7‒914‒221‒96‒61, +7‒924‒765‒23‒83"
"Видеонаблюдение и ОПС, центр монтажа, продажи и обслуживания систем видеобезопасности",,"+7‒914‒2‒708‒104, +7‒924‒175‒75‒40, +7‒964‒421‒19‒99"
"Доброволец, торгово-монтажная компания",,"+7‒924‒174‒12‒33, +7 (4112) 44‒70‒46, +7‒964‒422‒29‒43"
"Защита, ООО, строительно-монтажная компания",,"+7 (4112) 34‒51‒46"
"ШЕРИФ, телемагазин видеонаблюдения и систем охранно-пожарной безопасности",,+7‒924‒765‒00‒81
"Орлан, ООО, частная охранная организация",,"+7 (4112) 34‒12‒24"
"САНАКЭТ, ООО, сервисная компания",,+7‒914‒2‒728‒550
"Автоматизация бизнеса, торгово-сервисная компания",,"+7 (4112) 318‒300"
"Спецавтоматика, ЗАО, производственное объединение",,+7‒914‒305‒87‒22
"Алекс, частная охранная организация",,"+7 (4112) 45‒96‒04, +7 (4112) 45‒96‒74"
"Боотур, ООО, частная охранная организация",,+7‒914‒2‒709‒153
"Охрана-Сервис, охранное агентство",,"+7‒914‒226‒39‒18, +7 (4112) 33‒60‒21"
"Чыпчаал, ООО, монтажная фирма",,"+7 (4112) 39‒07‒17"
"Связь-Эксперт, ООО, строительная компания",,
"Ягуар Норд, ООО, частное охранное предприятие",,"+7 (4112) 32‒00‒51, +7‒914‒107‒07‒08, +7‒924‒661‒99‒20"
"Линия, ООО, торгово-сервисная компания",,+7‒924‒664‒73‒30
"Огнезащита, ООО, торговая компания",,+7‒914‒2‒727‒188
"ВостокСтройСервис, строительная фирма",,"+7‒914‒2‒734‒296, +7‒962‒735‒26‒58"
"Нова, торгово-монтажная компания",,"+7 (4112) 26‒02‒06"
"РОМВОЛ Спецавтоматика, ООО, монтажная фирма",,"+7‒914‒273‒51‒22, +7‒914‒270‒83‒43"
"Связьстройсервис, ООО, строительная компания",,"+7‒924‒765‒79‒77, +7 (4112) 45‒20‒15"
"Гуард, монтажная фирма",,"+7 (4112) 34‒12‒24, +7 (4112) 44‒48‒30"
"Монтажная компания, ИП Янченко Л.Л.",,"+7‒914‒270‒82‒43, +7‒914‒270‒82‒34"
"Монтажно-сервисная компания, ИП Никулин А.В.",,"+7‒914‒2‒713‒057, +7‒914‒102‒83‒01"
"Монтэкс-95, монтажная фирма",,"+7 (4112) 42‒37‒90"
"Монтажно-сервисная компания, ИП Назаров В.И.",,"+7‒914‒2‒70‒40‒51, +7 (4112) 25‒68‒68"
"САНАКЭТ, ООО, сервисная компания",,+7‒914‒2‒728‒550
"Электронные системы безопасности и связи, ООО, торгово-сервисная компания",,"+7 (4112) 21‒46‒39"
"Профиль, ООО, строительная компания",,"+7 (4112) 35‒60‒64"
"Альфа, охранное предприятие",,"+7 (4112) 35‒87‒35, +7 (4112) 35‒73‒25"
"Служба-01, ООО",,"+7‒914‒105‒17‒72, +7‒914‒293‒01‒01"
"Электроник, IT-компания",,"+7 (4112) 70‒15‒70"
"Республиканский охранно-пожарный центр, ООО",,"+7 (4112) 26‒03‒61, +7‒924‒868‒88‒89"
"Спецстроймонтаж, ООО, монтажная компания",,"+7‒914‒2‒700‒286, +7‒914‒246‒55‒52"
"СпецМонтажСервис, ООО, торгово-монтажная компания",,"+7‒914‒2‒729‒001, +7‒914‒2‒735‒509"
"Электрон, ООО, электромонтажная фирма",,"+7 (4112) 44‒52‒51"
"Топ-СБ, ООО, торгово-монтажная компания",,+7‒924‒461‒40‒80
"Гранит, ООО, частное охранное предприятие",,"+7 (4112) 22‒51‒23, +7‒914‒2‒721‒709"
"СБИТ, центр монтажа, продаж и обслуживания систем видеонаблюдения, охранно-пожарных сигнализаций и сетевых технологий",,+7‒924‒592‒73‒34
"СТАРТ, ООО, инжиниринговая компания",,+7‒924‒765‒05‒00
"Центр безопасности, ООО, центр монтажа и технического обслуживания",,"+7 (4112) 26‒03‒09"
