Names;Email;Phones
AMX24, интернет-магазин автозапчастей;yakutsk@amx24.ru;+7‒924‒567‒24‒24
Шоколадница, кофейня;yakutsk-shoko@mail.ru;+7 (4112) 402‒171, +7‒924‒868‒68‒08
Руки Вверх, бар;ya@rvbar.ru;+7 (4112) 250‒369
Вентпромстрой, торгово-монтажная компания;vssy@mail.ru;+7‒914‒2‒737‒860, +7 (4112) 20‒45‒87
АТС Восток, ООО, авиакасса;vostokykt@yandex.ru;
Восход, гостиница;voshod_hotel@mail.ru;+7‒924‒567‒59‒11, +7‒9142‒72‒42‒72
Vizavi, сауна;vizavi210099@mail.ru;+7 (4112) 25‒33‒99, +7 (4112) 21‒00‒99
Виват, сеть магазинов сантехники и мебели для ванных комнат;vivatykt@mail.ru;
LadyNight, салон красоты;vip.ladynight@mail.ru;+7 (4112) 25‒71‒25, +7‒924‒765‒71‒25
ТеплоХолод, торгово-монтажная компания;vip-log2012@yandex.ru;+7‒914‒276‒43‒52
ВиконтСтройПродукт, ООО, строительная компания;vikontstroy.produkt@mail.ru;+7‒914‒2‒748‒822, +7‒914‒2‒722‒893
ВикториКлиник, многопрофильная медицинская клиника;victory_clinic@mail.ru;+7 (4112) 421‒000, +7 (4112) 425‒000, +7 (4112) 20‒15‒19
МРТ-центр Виктори Клиник;victory_clinic@mail.ru;+7 (4112) 32‒80‒80
Улыбка, стоматологический кабинет;victoria@hu2.ru;
Вектор, ООО, компания по производству, продаже и монтажу эковаты;vectorsakha@yandex.ru;+7‒914‒2‒721‒820, +7‒964‒425‒31‒86
Элит Декор, салон-магазин декоративных и лакокрасочных материалов;vboiko@list.ru;+7 (4112) 40‒33‒40, +7 (4112) 35‒23‒03, +7 (4112) 25‒23‒43
Манипулятор Эконом, служба заказа манипулятора и эвакуатора;vasilisa.mashinskaya@mail.ru;+7‒914‒2‒724‒024, +7‒924‒175‒75‒72
Гостевой дом Северянка;varyakinaekater@mail.ru;+7‒914‒2‒75‒14‒14, +7‒924‒179‒51‒51
Вариант+, ООО, торговая компания;var_plus@mail.ru;+7 (4112) 39‒01‒24, +7‒914‒2‒702‒638
Keune, салон красоты;valya_1967@mail.ru;+7‒914‒2‒741‒731
555, автоцентр;valeriys555@mail.ru;+7 (4112) 35‒54‒90
Утум-Голдлайн, ООО, строящиеся объекты;utumreal@mail.ru;+7‒914‒103‒44‒17, +7 (4112) 44‒51‒20
МаксимУм, учебно-репетиторский центр;urs_maximum@mail.ru;+7‒964‒425‒97‒54, +7‒924‒866‒73‒71
Юником, магазин отделочных и строительных материалов;unicom-ykt@mail.ru;+7 (4112) 455‒000
Дежурный по кухне, магазин товаров для дома;uko111@mail.ru;
Чистюля, клининговая компания;uborka707011@mail.ru;+7‒914‒2‒70‒70‒11, +7‒914‒2‒70‒94‒88, +7 (4112) 42‒47‒88
Тургэн атах, специализированный магазин кроссовок и спортивной одежды;tyrgen_atah@mail.ru;+7‒924‒766‒28‒30, +7‒962‒730‒70‒46
ТвояАптека.рф;tvoyaapteka.ru@yandex.ru;8‒800‒100‒00‒03
Туймаада, автошкола;tuymada-avto@mail.ru;+7‒914‒2‒72‒70‒69, +7‒924‒566‒77‒66, +7‒914‒2‒73‒22‒80
Туймаада-Голд, магазин автозапчастей Toyota, ГАЗ, Ford;tuymaada-gold@mail.ru, 439964@mail.ru;+7 (4112) 43‒99‒64, +7 (4112) 43‒90‒62, +7 (4112) 43‒91‒41, +7‒924‒870‒11‒12
Линолеум и Двери, торговая компания;tumul@mail.ru;+7‒914‒2‒75‒83‒93
Стройград, магазин строительных и хозяйственных товаров;tumul@mail.ru;+7‒914‒2‒748‒748, +7 (4112) 44‒75‒24, +7 (4112) 44‒72‒57
Амортизатор-Центр, магазин автозапчастей;tso-oleg@yandex.ru;+7 (4112) 25‒24‒46, +7‒924‒169‒06‒06, +7‒924‒765‒24‒46, +7 (4112) 44‒75‒03
Тройка ДВ, транспортная компания;troyka@yandex.ru;+7‒914‒266‒86‒66
Трапеза, кафе;trapeza-kafe@mail.ru;+7 (4112) 700‒800, +7 (4112) 25‒08‒08
Транс-Сервис, ООО, транспортная компания;transservice-ykt@mail.ru;
Трамплин, ООО, салон тренажеров;tramplinyakutia@gmail.com;+7‒924‒766‒06‒09, +7 (4112) 26‒06‒09, +7‒914‒293‒16‒56
Тояма, автоцентр;toyama-ykt@mail.ru;+7‒914‒2‒71‒55‒13, +7 (4112) 25‒04‒17, +7‒914‒2‒707‒166, +7‒914‒2‒73‒33‒84
Tornado, сеть меховых салонов;tornadofurs@mail.ru;
TonerYkt.ru, магазин картриджей и расходных материалов;toner-ykt@mail.ru;+7 (4112) 255‒990
ТМК Периметр, ООО, торгово-монтажная компания;tmkperimetr@mail.ru;+7 (4112) 25‒15‒35, +7‒914‒2‒735‒172
ВОРОТА14, торгово-монтажная компания;tmk-vorota14@mail.ru;+7 (4112) 25‒05‒95, +7 (4112) 25‒99‒66
Альтэк, торгово-монтажная компания;tmk-altek@yandex.ru;+7 (4112) 26‒02‒12, +7‒924‒766‒02‒12
Тимир Строй Сервис, ООО, строительная компания;timirss@mail.ru;
Тигра-Сервис, торгово-сервисная компания;tigra_service@mail.ru;+7‒914‒2‒700‒711, +7 (4112) 25‒45‒03, +7‒924‒765‒45‒03
ТеплоГаз, магазин отопительного и газового оборудования;tg755885@yandex.ru;+7‒914‒2‒755‒885, +7 (4112) 402‒885
ТЕСЛА, ООО, электромаркет;tesla-ykt@mail.ru;+7 (4112) 220‒220
Терра Риэлти, ООО, земельно-кадастровое бюро;terra.realty@inbox.ru;+7‒914‒2‒714‒315, +7‒914‒2‒733‒622
Теплоэнергомонтаж, ООО;teploenergomontazh12@mail.ru;+7‒914‒290‒15‒79, +7‒964‒417‒90‒39, +7 (4112) 32‒11‒13
Технология Окна, ООО, компания по производству и продаже окон и входных групп;tehnologiaokna@yandex.ru;+7‒924‒566‒66‒25
TehExpert, пункт технического осмотра;teh_osmotr@bk.ru;+7‒962‒731‒42‒87, +7 (4112) 25‒42‒20
Окна Стандарт, производственно-монтажная компания;tecnokom@mail.ru;+7 (4112) 40‒28‒78, +7‒914‒103‒68‒50, +7‒914‒2‒704‒128
Техпромэнерго, ООО, испытательная лаборатория;techpromenergy@mail.ru;+7 (4112) 40‒36‒71, +7‒924‒170‒22‒33
ПИОНЕР, торговый дом;tdpioner@gmail.com;
Авто-Люкс, автошкола;tdp_olv@mail.ru;+7‒914‒2‒710‒177
Дилижанс, служба заказа легкового транспорта;taxi1570@mail.ru;+7 (4112) 20‒15‒70, +7 (4112) 444‒700, +7 (4112) 25‒15‒70, +7‒914‒2‒72‒33‒72, +7 (4112) 444‒600
Тандем, магазин мотозапчастей и мототехники;tandem14region@mail.ru;+7 (4112) 36‒48‒57, +7‒924‒168‒01‒20
Магазин-мастерская жестяных изделий, доборных элементов и вентиляции, ИП Талонов Р.Е.;talonov14@yandex.ru;+7‒914‒228‒45‒05
Талком, магазин компьютерной техники;talkom@mail.ru;+7‒964‒417‒52‒22, +7‒924‒369‒00‒13
ТАЛБА МАС, торговая компания;talbamas@mail.ru;+7 (4112) 35‒71‒48, +7 (4112) 35‒81‒15
Виконтстрой;t600tt@yandex.ru;+7 (4112) 25‒99‒99, +7 (4112) 25‒77‒77, +7‒924‒592‒99‒99
Крепость, ООО, торговая компания;t220101@yandex.ru;+7‒914‒2‒727‒188
Союз консалтинг, юридическое агентство;szk14@mail.ru;+7‒924‒160‒74‒64
Световая реклама, производственно-монтажная компания;svrek@bk.ru;+7‒914‒2‒710‒868, +7 (4112) 25‒44‒33, +7‒924‒765‒44‒33
Свет Шоп, магазин люстр;svetshop2016@mail.ru;
Царская, гостиничный комплекс;svetlanaiosif68@mail.ru;+7‒914‒2‒700‒719, +7‒914‒2‒715‒842
PRAYD, магазин автозапчастей Nissan, Suzuki и Infiniti;suzuki-prayd@yandex.ru;+7 (4112) 727‒837, +7‒914‒27‒27‒837, +7‒924‒46‒06‒128
Катана, служба доставки суши и пиццы;sushi_katana@mail.ru;+7 (4112) 26‒34‒46, +7‒914‒2‒74‒46‒48, +7‒924‒595‒63‒63, +7 (4112) 74‒44‒11
Центр-Пил;su64@mail.ru;+7‒914‒261‒17‒60
Кадастр Якутии, кадастровое бюро;stroyproektcadastr@mail.ru;+7‒914‒2‒74‒92‒92
SAKHAyaTOUR, компания по организации стоматологических туров в Китай;stomturchina@gmail.com;+7‒984‒113‒56‒99, +7 (4112) 34‒07‒44, +7‒965‒995‒19‒99
СТО CARAT, автосервис;sto_carat@mail.ru;+7 (4112) 252‒313, +7 (4112) 256‒652
Стройторгкомплект, ООО;stk.ykt@mail.ru;+7 (4112) 70‒85‒33, +7 (4112) 70‒95‒33, +7 (4112) 36‒92‒95, +7 (4112) 36‒97‒69
Прачечная, ИП Баркарь С.А.;stirka_ykt@mail.ru;+7 (4112) 36‒62‒64
Стерх, АО, страховая компания;sterh_rsk@sakha.ru;8‒800‒500‒43‒13
Ростелеком для дома;stc_telecom@dv.rt.ru;8‒800‒200‒20‒22
СтройБаза, магазин строительных и отделочных материалов;stb142@yandex.ru;+7 (4112) 25‒66‒88, +7 (4112) 21‒12‒54, +7 (4112) 21‒02‒35
Статус, транспортная компания;status-transport54@mail.ru;+7‒914‒2‒743‒335
Statica, фитнес-клуб;statica14@mail.ru;
СтартерПро, торгово-сервисный центр;starter@stopro.pro;+7 (4112) 219‒339
Сахаспецтехника, компания по продаже китайской сельхозтехники Синтай, Вэйтуо и Донгфенг;sst.2005@mail.ru, ffedorov@mail.ru;+7‒924‒360‒20‒05, +7‒914‒2‒742‒492
СтройСпецТехника, ООО;sst-2016@mail.ru;+7‒914‒820‒00‒77, +7‒914‒100‒91‒91, +7‒914‒2‒700‒508
Хатын, торговая компания;ssn-05@mail.ru;+7 (4112) 31‒74‒24, +7 (4112) 31‒75‒10
СПДС, ООО, проектно-строительное бюро;spds14@mail.ru;+7‒964‒421‒23‒91, +7‒914‒308‒38‒27
Союз, ООО, стоматологическая клиника;soyz.2013@mail.ru;+7 (4112) 40‒12‒97, +7‒924‒166‒80‒06
СахаГиперАвто, магазин автозапчастей;solonenko1997@inbox.ru;+7‒914‒2‒700‒752, +7‒914‒2‒702‒817
Белоснежка, частный детский сад;sofroneeva_l@mail.ru;+7‒914‒100‒29‒06
Аартык, агентство недвижимости;sng160480@mail.ru;+7‒984‒100‒26‒79, +7‒914‒2‒700‒978
Сахамедстрах, АО, страховая медицинская компания;smsmail@sakha.ru;8‒800‒100‒14‒03
Пирамида, склад-магазин;smpiramida2015@mail.ru;+7‒914‒2‒704‒552, +7‒914‒2‒716‒060
Мандаринка, оптово-розничный магазин упаковочных и хозяйственных товаров;smoker@smoker.su;
СЛТК, ООО;sltk-ykt@mail.ru;+7 (4112) 35‒73‒61, +7 (4112) 35‒89‒34, +7 (4112) 70‒89‒57, +7 (4112) 722‒155
СК-Строй, магазин строительных материалов;skstroy28@mail.ru;+7‒914‒2‒722‒338
Skin time, магазин корейской косметики;skintimesu@yandex.ru;+7‒914‒2‒747‒736
Сказка для малышей, магазин товаров для новорожденных;skazka-m@list.ru;+7‒924‒765‒55‒75, +7 (4112) 25‒55‒75
СИТИС, ООО, строительная компания;sitis_stroy@mail.ru;+7‒968‒155‒44‒44
Система плюс 1С: Франчайзинг, ООО, торгово-внедренческая компания;sis-plus@mail.ru;+7 (4112) 26‒03‒78, +7 (4112) 25‒03‒78
Авто Альянс, ООО, служба заказа автобусов по городу и межгороду;shurik-kop@mail.ru;+7‒914‒2‒743‒043
Торгово-производственная компания, ИП Монастыршина Л.С.;shpuntik.14@bk.ru;+7‒914‒2‒700‒411
Шинцентр, магазин шин, дисков и автомасел;shincentr14@gmail.com;+7‒924‒766‒02‒52, +7 (4112) 260‒252
Sherlock Pub, паб-ресторан;sherlockpub@mail.ru, hotel-lena@mail.ru;+7 (4112) 42‒10‒11
Шерл, ООО, транспортная компания;sherl-yak@yandex.ru;+7 (4112) 44‒77‒77, +7 (4112) 31‒73‒75, +7 (4112) 31‒73‒92, +7 (4112) 31‒73‒93
ТРАНЗИТ, транспортная компания;shamaev.aleksey@inbox.ru;+7‒914‒2‒74‒74‒03, +7‒914‒2‒70‒74‒88, +7‒924‒766‒2‒003, +7‒914‒249‒0‒888, +7‒984‒105‒29‒58
СК-Мебель, магазин мебели;severcompany@mail.ru;+7‒914‒2‒700‒593
Дисплей-Авто, автосервис;service@displaysakha.ru;+7 (4112) 46‒09‒19, +7 (4112) 26‒09‒19
Дисплей-Сервис, сервисный центр;service@displaysakha.ru;+7 (4112) 46‒08‒18
SMART, комиссионный магазин;sergej_absolut@mail.ru;
Дисконт, магазин цифровой техники;sergej_absolut@mail.ru;+7‒914‒2‒703‒094
SMart, ломбард;sergej_absolut@mail.ru;
ЦентрДомСтрой, ООО, многопрофильная строительная компания;sentrdomstroy@mail.ru;+7‒914‒2‒755‒475
Смарт Сервис, сеть сервисных центров;semen-everstov@mail.ru;
SPANNER, автосервис;semen_nnnnn@mail.ru;+7 (4112) 25‒14‒71, +7‒914‒2‒711‒889
Светодиод.28, компания по продаже светодиодной продукции;sdiod28@mail.ru;+7 (4112) 58‒15‒18, +7‒914‒555‒49‒25
Сардаана, фирменный магазин;sardaana1@yandex.ru, sardaana2@yandex.ru;
Сантехника & отопление, магазин;sant.ot@rambler.ru;
Сандал принт, рекламно-полиграфическое предприятие;sandalprint@mail.ru;+7 (4112) 33‒50‒98, +7 (4112) 45‒12‒45
Верхнеленский деревообрабатывающий комбинат;sales@vl-les.ru;
КопирТехСервис;sale@copierts.ru;
Саха Автоматизация 1С: Франчайзинг, ООО, торгово-сервисная компания;sakha1c@mail.ru;+7 (4112) 25‒55‒46, +7 (4112) 25‒55‒47, +7‒924‒765‒55‒46
Евротехника, магазин;sakha-eurotech@mail.ru;
Саха Дизайн, производственно-торговая фирма;sakha-design@mail.ru;
Мото-центр, торгово-сервисный центр;sakha-buran@yandex.ru;
Ямщик XXI, курьерская служба;sakha_post@mail.ru;+7 (4112) 32‒51‒54, +7 (4112) 35‒11‒44, +7 (4112) 33‒53‒05, +7‒924‒661‒54‒54
Транзит 27, транспортно-экспедиторская компания;saha@tranzit27.ru, ma@tranzit27.ru, yakt@tranzit27.ru;+7 (4112) 74‒27‒27, +7 (4112) 75‒27‒27
САБИ, салон керамической плитки и строительных материалов;sabi01@mail.ru;+7 (4112) 33‒23‒23, +7 (4112) 33‒25‒25
DHL Express, служба экспресс-доставки;ruyksagt@dhl.com;+7 (4112) 39‒15‒15, +7 (4112) 39‒01‒17
Элсис, ООО, магазин электрики и освещения;rozetka-opt@mail.ru;
Фирма РОМИС, ООО, официальный дилер Cordiant, Michelin;romis14-info@yandex.ru;+7 (4112) 45‒98‒07, +7 (4112) 45‒95‒26, +7‒914‒823‒18‒73, +7 (4112) 47‒43‒53
РИК, ООО, землеустроительная компания;rik14info@mail.ru;+7 (4112) 42‒80‒22, +7‒964‒419‒37‒04, +7‒968‒162‒06‒00
Республиканская инвестиционная компания, АО, строящиеся объекты;ric@ricsakha.ru, rdr_group2@mail.ru;+7 (4112) 40‒39‒64, +7‒924‒765‒00‒63
Илья, автоцентр;reymer77@yandex.ru;+7‒914‒2‒726‒640, +7 (4112) 35‒34‒47
Республика, ООО, центр продаж недвижимости;respublica14@gmail.com;+7‒914‒2‒725‒260, +7‒914‒2‒725‒420, +7‒914‒227‒57‒56, +7‒924‒177‒80‒01
Сопротивление, магазин компьютерной техники;resist_ykt@mail.ru;+7 (4112) 36‒00‒40
AZIMUT Отель Полярная Звезда Якутск, гостиничный комплекс;reservations.yakutsk@azimuthotels.com;+7 (4112) 39‒13‒20, +7 (4112) 39‒13‒13, +7 (4112) 500‒580
Учись учиться, учебный центр;repetitor14@yandex.ru;+7‒914‒2‒725‒302
Реквием, ритуальное агентство;rekviemykt@mail.ru;+7‒914‒2‒732‒052
Нью вижн, ООО, рекламное агентство полного цикла;reklama322030@mail.ru;+7 (4112) 32‒20‒30, +7 (4112) 26‒20‒80, +7 (4112) 25‒11‒40, +7 (4112) 255‒755, +7‒924‒661‒81‒01
Агентство Креативных Идей, ООО, рекламное агентство полного цикла;reklama06@list.ru;+7 (4112) 21‒75‒57, +7 (4112) 26‒13‒33, +7‒924‒766‒13‒33
Регион 25 Авто, компания по продаже автозапчастей, изготовлению автомобильных номеров и РВД;region_auto@inbox.ru, 25rus@inbox.ru;
Левша, автосервис;realline888@mail.ru;+7‒914‒2‒703‒904
Республиканская больница №1-Национальный центр медицины, медицинский центр;rb1ncm@mail.ru;+7 (4112) 39‒53‒06, +7 (4112) 39‒56‒05, +7 (4112) 39‒56‒51, +7 (4112) 39‒50‒74, +7 (4112) 39‒52‒67
Райтон, магазин матрасов и аксессуаров для сна;raiton.ykt@yandex.ru;
Пятая империя, магазин велосипедов и пуховиков;puhovikykt@mail.ru;
Автодисконт, станция замены масла;protektor14@mail.ru;+7‒914‒2‒70‒55‒22, +7‒964‒077‒92‒77
Профильные системы, ООО, производственно-монтажная компания;prosystem.ykt@mail.ru;+7 (4112) 22‒31‒98, +7 (4112) 22‒60‒53, +7‒914‒221‒80‒51
ПРОСТРАНСТВО, фотостудия;prostranstvo2017@yandex.ru;+7‒914‒2‒70‒55‒51
ПроФи, производственно-монтажная компания;profiykt@bk.ru;+7‒924‒360‒83‒38
PROFI STOM, стоматологический кабинет;profistom-akvamarin@yu.ru;
Профи-маркет, магазин инструмента и оборудования;profi411@mail.ru;+7 (4112) 219‒720
Престиж декор, интерьерный салон;prodecor305@gmail.com;+7‒914‒2‒71‒75‒66, +7‒914‒2‒72‒00‒22
Прайм Gym, тренажерный зал;primegymykt@mail.ru;+7 (4112) 42‒03‒85
Автоюрист-АргументЪ, юридический кабинет;pravoved1971@gmail.com;+7‒924‒168‒74‒35
А-Щёголь, первый магазин мужского белья, домашней одежды и термобелья;potap6971@mail.ru;
Pony express, служба экспресс-доставки;pony-ysk.order@mail.ru;+7 (4112) 25‒66‒44
Планета, сеть магазинов автозапчастей;planeta@sakhanet.ru;
Питрс, сувенирно-полиграфическая компания;pitrs@mail.ru;+7 (4112) 39‒00‒93, +7‒914‒2‒783‒557, +7 (4112) 39‒00‒94
Ателье мебели Папа Карло;papakarloykt@mail.ru;+7 (4112) 25‒25‒20, +7‒924‒765‒25‒20
Торгово-производственная компания, ИП Шилов М.Ф.;paeg1@yandex.ru;+7‒914‒2‒716‒979, +7‒914‒2‒706‒573, +7‒914‒2‒733‒815, +7 (4112) 43‒27‒65
Мотомир, магазин мототехники;otov.co@mail.ru;+7‒914‒2‒725‒063
Вояж, мини-гостиница;otelsakha@mail.ru;+7‒914‒2‒719‒400, +7‒924‒662‒33‒30
Симэх, сеть ювелирных салонов;optsimeh@mail.ru, osipvv@yandex.ru;+7 (4112) 35‒39‒16
А-Оптима, сеть магазинов бытовой техники, посуды и фильтров для воды;optimaykt@mail.ru;+7 (4112) 26‒28‒26, +7‒914‒2‒706‒377, +7‒924‒766‒28‒26
Авто, компания по оформлению и страхованию автомобилей;optical-max@mail.ru;+7‒914‒2‒709‒660, +7‒924‒765‒03‒06
Республиканская больница №2, медицинский центр;oprpdd2014@mail.ru;+7 (4112) 507‒500
Билмарт Окна, компания по производству и продаже окон, дверей и жалюзи;ooostp2016@mail.ru, myreev@bielmart.ru;+7 (4112) 25‒40‒80, +7 (4112) 500‒999, +7‒924‒765‒40‒80
Пластекс, торгово-производственная компания;oooplastex@yandex.ru;
AutoGAS PRO, торгово-установочный центр газового оборудования;ooolena@list.ru;+7‒914‒2‒70‒80‒90
ЛЕГО, ООО, торгово-монтажная компания;ooolego@bk.ru;+7 (4112) 252‒333
Квадратный метр, магазин ламината, линолеума и керамической плитки;ooogsk@list.ru;+7 (4112) 21‒31‒61
Декор Стиль, салон декоративных товаров для дома;olmih2003@mail.ru;
Якутяночка, мини-гостиница;olesyaypk@mail.ru;+7‒914‒2‒74‒23‒22, +7 (4112) 40‒27‒27
ПожарOFF, торгово-монтажная компания;oleg690@yandex.ru;+7 (4112) 32‒42‒22, +7 (4112) 32‒42‒66
АСК-Строй, производственная фирма;okter-stroy@mail.ru;+7 (4112) 36‒37‒82, +7 (4112) 36‒36‒72
Гавайи, центр отдыха;okean_ykt@mail.ru;+7‒924‒765‒22‒44, +7‒924‒765‒57‒57, +7 (4112) 25‒57‒57, +7 (4112) 25‒22‒44, +7‒914‒2‒756‒661
Valvoline, сервис-центр замены масел;oilavto_yakutsk@mail.ru;+7‒914‒2‒718‒215
Стандарт, оценочная фирма;ofstandart@mail.ru, standart_ocenka@rambler.ru;+7 (4112) 21‒75‒58, +7‒914‒822‒04‒80
Россельхозбанк, АО;office@yakutia.rshb.ru;8‒800‒100‒0‒100
ХэппиАйлэнд;office@hapirus.ru;+7‒964‒076‒62‒56
ПМК, ООО, торгово-производственная компания;nzpmko@mail.ru;8‒800‒500‒54‒70
Number one, китайский ресторан;numberoneykt@mail.ru;+7‒914‒2‒75‒88‒99
Мир замков, компания по продаже сантехники, хозтоваров и кованых изделий;nt_mz@mail.ru;+7 (4112) 35‒29‒29
Новый свет, салон света и интерьера;noviysvet_ykt@mail.ru;+7‒924‒164‒32‒28
ErotiX, интернет-магазин интимных товаров;notoys@mail.ru;+7‒914‒102‒21‒20
НордСтандарт, ООО, строительная компания;nordstandart14@yandex.ru;+7‒914‒2‒720‒240, +7‒914‒2‒713‒330
Дентал Авеню, стоматологическая клиника;nikdantist@mail.ru;+7 (4112) 34‒04‒04, +7 (4112) 25‒40‒04
Айгуль, компания;news@aigul.ru;8‒800‒100‒06‒16
14 регион, магазин запчастей и автотоваров;new14region@mail.ru, 14region.tim1990@mail.ru;+7 (4112) 45‒93‒13, +7 (4112) 21‒94‒24, +7 (4112) 25‒45‒95, +7‒914‒2‒700‒920
Манипулятор Якутска, служба заказа манипулятора;nev_80@inbox.ru;+7‒914‒2‒70‒22‒00
Неопринт, магазин оргтехники;neoprint_ykt@mail.ru;+7 (4112) 250‒640, +7‒924‒765‒06‒40
Некрополь, агентство ритуальных услуг №1;nekropol1@mail.ru;+7‒914‒2‒75‒88‒11, +7‒924‒594‒88‒11, +7 (4112) 25‒46‒81, +7‒914‒2‒744‒220
Независимая Энергетическая Компания, ООО;nekompani@mail.ru;+7‒914‒2‒70‒26‒56, +7 (4112) 40‒36‒71
Эстетика, клиника пластической хирургии и косметологии;ndveksler@inbox.ru;+7 (4112) 40‒22‒00, +7‒914‒2‒73‒00‒33
Дом мечты, центр недвижимости;ndi_pochta@mail.ru;+7‒914‒277‒33‒71, +7‒924‒469‒31‒93
Времена Года, салон меха;nbe@mail.ru;+7‒924‒170‒45‒92, +7‒914‒292‒09‒54, +7‒924‒592‒20‒55
Дантист, клиника эстетической стоматологии;natadantist@mail.ru;+7 (4112) 43‒65‒06, +7‒924‒766‒26‒00, +7‒924‒765‒25‒62
Сэрбэкэ, торговый дом;n350088@mail.ru;
Ломбард Самородок, ООО, выездной ломбард цифровой техники и ювелирных изделий;n1-samorodok@mail.ru;
Егерь, магазин товаров для охоты и рыбалки;n.v.2@mail.ru;+7‒914‒2‒745‒297
Алютех, группа компаний;myreev@bielmart.ru;+7 (4112) 47‒37‒05, +7 (4112) 33‒15‒22
Мой бизнес, ООО, бухгалтерская фирма;mybusiness.14@mail.ru;+7‒914‒289‒91‒23, +7‒914‒294‒03‒78
Адель, магазин домашней одежды и постельного белья;muzmarina@list.ru;+7‒914‒288‒29‒88
Муус Хайа, ресторанный комплекс;muuskhaia@mail.ru;+7 (4112) 44‒55‒08, +7‒914‒2‒723‒093, +7 (4112) 44‒55‒07
МеталлСнаб, торговая компания;mts721@mail.ru;+7 (4112) 332‒117, +7‒914‒298‒67‒21, +7 (4112) 332‒111, +7‒914‒2‒706‒144
МойГаджет, магазин мобильных аксессуаров и чехлов;moygadgetykt@mail.ru;+7 (4112) 25‒31‒78
Mojito lounge bar, лаунж-бар;mojito_ykt@mail.ru;+7‒914‒2‒759‒329
Модуль, производственно-строительная фирма;modul.bk@mail.ru;+7 (4112) 25‒23‒24, +7‒924‒765‒23‒24, +7 (4112) 24‒23‒24
Мобишоп, центр мобильных технологий;mobishopykt@gmail.com;8‒800‒250‒57‒55
Ключ-Сервис, торгово-сервисная компания;mmm707995@bk.ru;+7 (4112) 45‒20‒92, +7‒914‒2‒707‒995
Мир слуха-Истии эйгэтэ, компания по продаже цифровых слуховых аппаратов;mir_slucha69@mail.ru;+7‒914‒2‒707‒054, +7‒914‒2‒705‒047
